,0
0,BIOFIND_Control
1,BIOFIND_PD
2,LS1_PD
3,PDBP_202_HC
4,PDBP_202_OTH
5,PDBP_202_PD
6,PDBP_204_HC
7,PDBP_204_NR
8,PDBP_204_PD
9,PDBP_205_HC
10,PDBP_205_PD
11,PDBP_206_HC
12,PDBP_206_PD
13,PDBP_207_HC
14,PDBP_207_OTH
15,PDBP_207_PD
16,PDBP_208_HC
17,PDBP_208_PD
18,PDBP_211_NR
19,PDBP_213_NR
20,PDBP_214_HC
21,PDBP_214_OTH
22,PDBP_214_PD
23,PDBP_220_PD
24,PDBP_224_HC
25,PDBP_224_PD
26,PDBP_225_HC
27,PDBP_225_NR
28,PDBP_225_PD
29,PDBP_229_HC
30,PDBP_229_OTH
31,PDBP_229_PD
32,PDBP_231_OTH
33,PDBP_231_PD
34,PDBP_232_NR
35,PDBP_232_OTH
36,PDBP_232_PD
37,PDBP_233_NR
38,PDBP_233_OTH
39,PDBP_233_PD
40,PDBP_235_HC
41,PDBP_235_NR
42,PDBP_235_OTH
43,PDBP_235_PD
44,PDBP_236_NR
45,PDBP_236_OTH
46,PDBP_236_PD
47,PDBP_245_NR
48,PDBP_245_OTH
49,PDBP_245_PD
50,PDBP_247_PD
51,PDBP_254_HC
52,PDBP_254_OTH
53,PDBP_254_PD
54,PPMI_AV133_PD
55,PPMI_GEN_NR
56,PPMI_GEN_PD
57,PPMI_HC
58,PPMI_NR
59,PPMI_PD
60,PPMI_PRODROMAL
61,PPMI_REG_NR
62,PPMI_REG_PD
63,PROBAND_PD
